startUserId,endConversationId,at
U0475,CV0002,2026-03-13T12:12:39
U0118,CV0003,2026-01-07T00:08:39
U0823,CV0003,2025-12-05T20:25:23
U0066,CV0004,2026-01-04T03:22:30
U0511,CV0005,2025-12-10T06:33:11
U0580,CV0005,2025-09-26T05:37:27
U0263,CV0006,2026-02-21T08:19:34
U0618,CV0006,2026-03-04T11:11:57
U0405,CV0007,2026-02-25T07:37:34
U0463,CV0007,2025-04-10T20:29:07
U0396,CV0008,2026-01-13T04:44:51
U0558,CV0009,2025-12-12T09:27:16
U0087,CV0010,2026-02-13T15:06:49
U0142,CV0010,2026-01-16T04:36:25
U0451,CV0011,2025-09-19T20:08:59
U0233,CV0012,2026-03-03T15:46:59
U0393,CV0013,2026-03-31T00:47:14
U0822,CV0014,2026-03-27T21:49:32
U0567,CV0015,2026-03-03T18:59:33
U0440,CV0017,2026-02-15T05:56:08
U0676,CV0017,2026-02-07T19:44:53
U0594,CV0018,2025-09-11T22:27:00
U0009,CV0019,2026-03-20T15:03:57
U0057,CV0019,2026-03-23T12:47:27
U0090,CV0020,2026-03-20T08:44:24
U0805,CV0020,2026-03-10T04:48:31
U0194,CV0021,2025-05-31T06:57:35
U0019,CV0022,2025-06-03T19:38:53
U0360,CV0023,2026-03-31T19:17:42
U0762,CV0025,2026-04-01T19:12:53
U0284,CV0026,2026-02-06T05:53:47
U0877,CV0027,2026-03-06T15:53:40
U0309,CV0029,2026-01-05T12:14:09
U0813,CV0029,2026-03-23T02:54:23
U0571,CV0030,2026-03-24T03:00:04
U0760,CV0030,2026-03-22T00:58:23
U0890,CV0031,2026-03-24T09:34:19
U0246,CV0034,2026-03-31T04:34:05
U0460,CV0034,2026-03-31T03:17:10
U0067,CV0035,2026-01-26T01:44:41
U0064,CV0037,2026-03-27T16:52:55
U0365,CV0037,2026-03-30T04:30:49
U0579,CV0038,2026-03-18T17:58:01
U0268,CV0039,2026-03-11T21:50:54
U0399,CV0039,2026-03-02T10:42:54
U0297,CV0040,2026-01-12T09:57:03
U0069,CV0042,2026-02-12T01:27:52
U0681,CV0043,2026-04-01T16:08:34
U0509,CV0044,2026-01-24T21:32:54
U0085,CV0045,2026-02-23T04:56:06
U0229,CV0045,2026-03-06T05:39:31
U0057,CV0046,2025-06-13T20:33:26
U0271,CV0047,2026-01-15T11:52:01
U0516,CV0048,2026-02-26T07:51:34
U0815,CV0048,2026-03-01T16:16:23
U0300,CV0050,2026-02-17T03:01:46
U0403,CV0052,2026-03-30T20:42:29
