user_id,cluster
U0001,7
U0129,7
U0748,7
U0673,7
U0276,7
U0409,7
U0296,7
U0544,7
U0002,1
U0085,1
U0523,1
U0181,1
U0811,1
U0052,1
U0690,1
U0603,1
U0506,1
U0734,0
U0699,1
U0579,1
U0003,1
U0118,3
U0295,1
U0757,1
U0004,3
U0589,3
U0476,3
U0071,3
U0005,8
U0358,8
U0495,8
U0077,8
U0496,8
U0107,0
U0559,8
U0240,0
U0180,8
U0252,8
U0750,8
U0006,1
U0383,4
U0410,6
U0404,1
U0561,1
U0195,1
U0365,1
U0160,1
U0184,1
U0457,1
U0380,1
U0663,1
U0834,1
U0007,4
U0488,4
U0569,4
U0203,4
U0062,4
U0008,7
U0448,7
U0173,7
U0089,7
U0051,7
U0287,7
U0281,7
U0306,7
U0860,7
U0389,7
U0035,7
U0020,7
U0896,7
U0638,7
U0009,6
U0650,6
U0671,6
U0346,6
U0156,6
U0119,6
U0843,6
U0898,6
U0490,6
U0010,0
U0246,0
U0112,0
U0186,0
U0862,8
U0875,0
U0055,0
U0027,0
U0011,2
U0558,2
U0560,2
U0808,2
U0853,9
U0293,2
U0451,2
U0028,2
U0422,2
U0012,3
U0070,3
U0623,3
U0194,3
U0567,3
U0013,1
U0289,1
U0417,1
U0014,9
U0053,9
U0520,9
U0872,9
U0158,2
U0595,2
U0727,9
U0266,2
U0015,7
U0833,7
U0842,7
U0332,7
U0323,2
U0467,7
U0166,7
U0746,5
U0034,7
U0845,6
U0046,7
U0016,2
U0329,7
U0353,2
U0205,2
U0114,2
U0394,9
U0367,2
U0017,8
U0586,8
U0111,8
U0442,8
U0647,8
U0820,8
U0018,4
U0887,4
U0374,4
U0153,8
U0081,4
U0545,4
U0533,4
U0094,4
U0376,4
U0300,4
U0608,4
U0267,4
U0190,4
U0537,4
U0366,4
U0706,6
U0019,8
U0759,8
U0427,0
U0882,0
U0066,6
U0702,7
U0152,7
U0104,7
U0350,7
U0433,7
U0021,7
U0619,7
U0143,3
U0253,7
U0480,7
U0895,5
U0592,7
U0113,8
U0654,7
U0135,7
U0213,7
U0481,2
U0125,7
U0351,4
U0527,7
U0022,7
U0222,7
U0450,7
U0236,7
U0208,7
U0874,7
U0023,3
U0478,3
U0131,3
U0321,3
U0162,3
U0317,3
U0634,3
U0072,3
U0218,3
U0518,3
U0628,3
U0165,3
U0224,3
U0777,3
U0124,3
U0024,7
U0065,7
U0178,7
U0025,6
U0447,6
U0466,6
U0106,4
U0659,5
U0284,6
U0642,6
U0073,6
U0712,6
U0491,8
U0782,6
U0841,6
U0800,6
U0378,5
U0304,6
U0188,6
U0828,6
U0026,8
U0810,8
U0244,0
U0030,0
U0575,8
U0227,0
U0452,8
U0215,8
U0516,0
U0710,8
U0172,8
U0775,9
U0179,0
U0161,0
U0359,5
U0526,2
U0766,2
U0474,2
U0584,2
U0239,2
U0438,2
U0751,9
U0093,2
U0117,9
U0291,2
U0157,8
U0743,8
U0788,2
U0682,2
U0772,2
U0234,9
U0511,9
U0029,2
U0283,2
U0714,2
U0547,9
U0369,9
U0407,9
U0509,9
U0461,2
U0900,9
U0429,2
U0756,0
U0792,0
U0577,0
U0497,0
U0507,0
U0550,8
U0503,7
U0220,5
U0123,7
U0601,0
U0494,8
U0031,3
U0142,3
U0669,3
U0689,3
U0867,3
U0539,3
U0530,3
U0798,4
U0768,3
U0397,3
U0310,3
U0613,3
U0416,3
U0140,3
U0582,3
U0392,3
U0226,3
U0141,3
U0640,3
U0032,6
U0185,6
U0459,6
U0664,6
U0693,6
U0449,7
U0421,7
U0436,7
U0423,7
U0763,7
U0738,7
U0542,7
U0036,6
U0538,6
U0037,4
U0644,4
U0038,6
U0524,6
U0440,6
U0210,6
U0572,6
U0264,6
U0713,6
U0039,7
U0502,7
U0627,7
U0254,7
U0040,5
U0562,5
U0698,5
U0419,5
U0859,5
U0443,5
U0411,5
U0876,5
U0390,5
U0041,5
U0420,5
U0183,6
U0672,5
U0307,5
U0299,5
U0047,5
U0737,5
U0067,5
U0242,5
U0849,5
U0444,5
