source,target,edgeType,weight
U_00011052-b71e-5d93-a12d-b4e8b200fbdf,C_k33,BELONGS_TO_COHORT,1.0
U_00070f68-8cae-590f-aad0-ce7bf65d54e5,C_k38,BELONGS_TO_COHORT,1.0
U_001409a7-980b-5ecf-9f54-2a8c2953bf6c,C_k35,BELONGS_TO_COHORT,1.0
U_0028d64f-183d-53f5-8017-7713f18eb0da,C_k41,BELONGS_TO_COHORT,1.0
U_0031cb49-1320-525a-8e72-3abf339f05ea,C_k34,BELONGS_TO_COHORT,1.0
U_0044bd06-1952-5928-a018-8a4e95898deb,C_k38,BELONGS_TO_COHORT,1.0
U_00561344-6ecd-5acc-b287-97d861ca44c0,C_k35,BELONGS_TO_COHORT,1.0
U_00588d2b-423b-5083-9405-f8de0345638d,C_k35,BELONGS_TO_COHORT,1.0
U_00631570-c56b-5fb9-826d-c233bde552b2,C_k41,BELONGS_TO_COHORT,1.0
U_00673167-2200-523d-b88f-9332e9331f7d,C_k32,BELONGS_TO_COHORT,1.0
U_0077333f-17b8-545f-b4ed-9ed642a6d921,C_k42,BELONGS_TO_COHORT,1.0
U_008160e1-e588-58e4-9ae4-1d98465fb6d8,C_k32,BELONGS_TO_COHORT,1.0
U_009b30e4-8476-5bff-9788-3eba1f513031,C_k45,BELONGS_TO_COHORT,1.0
U_00a96d8a-ff7d-5cf6-8a6a-73772b68d632,C_k44,BELONGS_TO_COHORT,1.0
U_00cc3c12-60ad-5ea5-897e-d744cbf124d7,C_k44,BELONGS_TO_COHORT,1.0
U_00d77767-a619-5af7-95ce-155cf4ac7c8c,C_k40,BELONGS_TO_COHORT,1.0
U_00e44c59-923a-58f4-8e79-ed0f3da50c00,C_k41,BELONGS_TO_COHORT,1.0
U_00f36831-1beb-5084-b5aa-a2ed98b43beb,C_k43,BELONGS_TO_COHORT,1.0
U_01045a52-efea-5ea7-a724-e315b3074a73,C_k33,BELONGS_TO_COHORT,1.0
U_010f3fa0-7363-56c5-91d5-3d221947ccae,C_k45,BELONGS_TO_COHORT,1.0
U_0113c712-dee6-57df-a6ae-2cf9993a5d6c,C_k40,BELONGS_TO_COHORT,1.0
U_0144d145-90b7-58ad-97f8-55a15894765d,C_k44,BELONGS_TO_COHORT,1.0
U_016424f5-e5ea-59a5-9f45-ecc85a370d18,C_k39,BELONGS_TO_COHORT,1.0
U_017de208-fc33-5b8c-bdee-069bae07fa69,C_k39,BELONGS_TO_COHORT,1.0
U_018a87b8-ba58-5509-b778-92e973861ec8,C_k43,BELONGS_TO_COHORT,1.0
U_01916ef0-8d72-58b9-b12e-f72bae9a437d,C_k31,BELONGS_TO_COHORT,1.0
U_01b24078-186a-571f-9395-ccc56dc41e1d,C_k44,BELONGS_TO_COHORT,1.0
U_01b25e20-f93b-55ab-a1a5-ed5509d9da29,C_k44,BELONGS_TO_COHORT,1.0
U_01cfcfce-b462-5215-b5a1-1f0d83a0214b,C_k38,BELONGS_TO_COHORT,1.0
U_02148a26-70b3-5545-86c4-234e7f7f8d7e,C_k31,BELONGS_TO_COHORT,1.0
U_0216fef8-d803-51b8-b8fe-8231370aaa3a,C_k38,BELONGS_TO_COHORT,1.0
U_021ec712-ca03-5c96-8afb-b6dfdfa4d3d0,C_k45,BELONGS_TO_COHORT,1.0
U_022053c2-4059-505f-9446-20200261e3f1,C_k33,BELONGS_TO_COHORT,1.0
U_0232aec7-55d3-569c-9c32-79d8c76a2112,C_k30,BELONGS_TO_COHORT,1.0
U_02353ccd-8837-5966-b919-b6b6645036bf,C_k37,BELONGS_TO_COHORT,1.0
U_025155ef-6317-5c58-a013-5181d4314c1e,C_k33,BELONGS_TO_COHORT,1.0
U_0253a85b-9f2b-5870-860e-a9cc5148db00,C_k41,BELONGS_TO_COHORT,1.0
U_028a8bc4-924c-5af4-9981-3ce5e22385e0,C_k44,BELONGS_TO_COHORT,1.0
U_028ce10d-5a40-56b5-bdd9-e9e9e573a5fb,C_k41,BELONGS_TO_COHORT,1.0
U_0299d921-8dce-5b80-99fc-7d5237b9d707,C_k30,BELONGS_TO_COHORT,1.0
U_02a37b93-d326-58a5-af8d-15afe88dc1d3,C_k30,BELONGS_TO_COHORT,1.0
U_02c3b027-1fbe-577b-bf76-35ebbe4c8099,C_k43,BELONGS_TO_COHORT,1.0
U_02c3d63e-7d7c-5607-a602-bd0eed573d5f,C_k35,BELONGS_TO_COHORT,1.0
U_02c450d0-6d6e-5904-9252-5e5fd926c670,C_k44,BELONGS_TO_COHORT,1.0
